"Nabijheid voorzieningen; afstand locatie, wijk- en buurtcijfers 2021"
""
"";"";"Wijken en buurten"
"Onderwerp";"";"Nederland";"Aa en Hunze";"Wijk 00 Annen";"Annen";"Verspreide huizen Annen";"Wijk 01 Eext";"Eext";"Verspreide huizen Eext"
"Regioaanduiding|Gemeentenaam";"naam";"Nederland";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze";"AaenHunze"
"Regioaanduiding|Soort regio";"omschrijving";"Land";"Gemeente";"Wijk";"Buurt";"Buurt";"Wijk";"Buurt";"Buurt"
"Regioaanduiding|Codering";"code";"NL00";"GM1680";"WK168000";"BU16800000";"BU16800009";"WK168001";"BU16800100";"BU16800109"
"Regioaanduiding|Indelingswijziging wijken en buurten";"code";".";".";"1";"1";"1";"1";"1";"1"
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpraktijk";"km";"1,0";"2,5";"0,9";"0,8";"2,6";"3,8";"3,8";"3,6"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 1 km";"aantal";"1,5";"0,4";"0,7";"0,8";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 3 km";"aantal";"8,3";"1,0";"1,0";"1,0";"0,7";"0,0";"0,0";"0,4"
"Gezondheid en welzijn|Huisartsenpraktijk|Aantal huisartsenpraktijken|Binnen 5 km";"aantal";"17,6";"1,8";"2,8";"2,9";"1,3";"2,1";"2,0";"2,2"
"Gezondheid en welzijn|Huisartsenpraktijk|Afstand tot huisartsenpost";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Afstand tot apotheek";"km";"1,2";"2,5";"0,9";"0,8";"2,6";"3,9";"3,9";"3,7"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Afstand tot ziekenhuis";"km";"4,8";"10,4";"13,0";"13,0";"12,1";"14,3";"14,4";"13,9"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 5 km";"aantal";"1,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 10 km";"aantal";"3,0";"0,7";"0,0";"0,0";"0,1";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (incl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 20 km";"aantal";"8,8";"3,1";"4,2";"4,2";"4,8";"4,0";"4,0";"4,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Afstand tot ziekenhuis";"km";"7,1";"11,1";"15,1";"15,1";"16,2";"14,6";"14,4";"16,2"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 5 km";"aantal";"0,7";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 10 km";"aantal";"1,7";"0,4";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Gezondheid en welzijn|Ziekenhuis (excl. buitenpolikliniek)|Aantal ziekenhuizen|Binnen 20 km";"aantal";"4,3";"1,4";"1,2";"1,2";"1,9";"2,0";"2,0";"2,0"
"Gezondheid en welzijn|Afstand tot consultatiebureau";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Afstand tot fysiotherapeut";"km";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 1 km";"aantal";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 3 km";"aantal";".";".";".";".";".";".";".";"."
"Gezondheid en welzijn|Fysiotherapeut|Aantal fysiotherapeuten|Binnen 5 km";"aantal";".";".";".";".";".";".";".";"."
"Detailhandel|Winkels dagelijkse boodschappen|Afstand tot grote supermarkt";"km";"0,9";"2,1";"0,9";"0,8";"2,1";"0,9";"0,6";"2,6"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 1 km";"aantal";"2,0";"0,7";"1,2";"1,3";"0,1";"0,7";"0,8";"0,0"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 3 km";"aantal";"11,6";"1,5";"2,5";"2,5";"1,8";"1,0";"1,0";"1,1"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal grote supermarkten|Binnen 5 km";"aantal";"24,3";"2,7";"4,2";"4,3";"3,0";"3,2";"3,2";"3,7"
"Detailhandel|Winkels dagelijkse boodschappen|Afstand tot ov. dagel. levensmiddelen";"km";"0,8";"1,7";"0,8";"0,8";"1,9";"3,9";"4,0";"3,2"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 1 km";"aantal";"8,5";"2,0";"2,7";"2,8";"0,1";"0,0";"0,0";"0,0"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 3 km";"aantal";"50,9";"3,9";"4,4";"4,5";"3,5";"0,2";"0,0";"1,7"
"Detailhandel|Winkels dagelijkse boodschappen|Aantal overige dagelijkse levensmiddelen|Binnen 5 km";"aantal";"106,0";"7,2";"9,5";"9,7";"5,1";"6,8";"6,8";"7,2"
"Detailhandel|Warenhuis|Afstand tot warenhuis";"km";"2,6";"5,3";"5,2";"5,1";"6,3";"4,3";"4,2";"4,5"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 5 km";"aantal";"2,5";"0,4";"0,4";"0,4";"0,0";"0,9";"1,0";"0,6"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 10 km";"aantal";"6,8";"1,6";"2,0";"2,0";"2,0";"1,2";"1,1";"1,8"
"Detailhandel|Warenhuis|Aantal warenhuizen|Binnen 20 km";"aantal";"19,8";"7,0";"9,9";"10,0";"9,0";"8,0";"8,0";"8,2"
"Horeca|Cafés en dergelijke|Afstand tot café e.d.";"km";"1,3";"3,8";"4,1";"4,1";"5,4";"3,6";"3,5";"3,8"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 1 km";"aantal";"4,1";"0,2";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 3 km";"aantal";"27,4";"0,6";"0,0";"0,0";"0,0";"0,1";"0,0";"0,4"
"Horeca|Cafés en dergelijke|Aantal cafés|Binnen 5 km";"aantal";"55,8";"1,6";"2,8";"2,9";"0,4";"2,0";"2,0";"1,6"
"Horeca|Cafetaria's en dergelijke|Afstand tot cafetaria e.d.";"km";"0,8";"2,4";"4,7";"4,6";"5,8";"2,3";"2,2";"3,7"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 1 km";"aantal";"6,8";"0,6";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 3 km";"aantal";"45,2";"1,5";"0,0";"0,0";"0,0";"0,9";"1,0";"0,6"
"Horeca|Cafetaria's en dergelijke|Aantal cafetaria's e.d.|Binnen 5 km";"aantal";"93,4";"3,8";"4,4";"4,6";"0,7";"3,9";"4,0";"2,9"
"Horeca|Restaurants|Afstand tot restaurant";"km";"0,8";"1,0";"0,7";"0,7";"1,6";"0,7";"0,5";"2,2"
"Horeca|Restaurants|Aantal restaurants|Binnen 1 km";"aantal";"10,1";"1,9";"2,7";"2,8";"0,2";"1,7";"1,9";"0,0"
"Horeca|Restaurants|Aantal restaurants|Binnen 3 km";"aantal";"70,6";"5,0";"6,3";"6,4";"4,5";"3,0";"3,0";"3,1"
"Horeca|Restaurants|Aantal restaurants|Binnen 5 km";"aantal";"146,8";"10,8";"15,0";"15,3";"9,6";"8,0";"7,8";"9,5"
"Horeca|Hotels en dergelijke|Afstand tot hotel e.d.";"km";"2,5";"3,5";"2,7";"2,7";"2,8";"0,7";"0,6";"1,4"
"Horeca|Hotels en dergelijke|Aantal hotels e.d.|Binnen 5 km";"aantal";"18,3";"2,4";"4,0";"4,0";"3,3";"5,8";"6,0";"4,4"
