"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)"
"2019";"Woon- en Groengebied Sloterdijk";"BU03633600";"     300";"     4.3";"    18.2";"    77.5";"   0.458"
"2019";"Bedrijventerrein Sloterdijk I";"BU03633601";"     100";"       .";"       .";"       .";"       ."
"2019";"Landlust";"WK036337  ";"   10200";"    23.8";"    27.7";"    48.6";"  -0.187"
"2019";"Bedrijventerrein Landlust";"BU03633700";"     400";"    11.1";"    19.2";"    69.8";"   0.207"
"2019";"Bosleeuw";"BU03633702";"    2800";"    27.0";"    29.2";"    43.8";"  -0.293"
"2019";"Landlust Zuid";"BU03633703";"    2200";"    22.6";"    25.4";"    52.0";"  -0.097"
"2019";"Erasmusparkbuurt Oost";"BU03633704";"    1000";"    17.7";"    23.8";"    58.6";"   0.014"
"2019";"Gibraltarbuurt";"BU03633705";"    2500";"    26.1";"    30.0";"    43.9";"  -0.298"
"2019";"Landlust Noord";"BU03633706";"    1300";"    22.7";"    28.9";"    48.3";"  -0.159"
"2019";"Erasmuspark";"WK036338  ";"    3300";"    16.3";"    23.9";"    59.8";"   0.088"
"2019";"Erasmusparkbuurt West";"BU03633802";"    2300";"    14.9";"    23.8";"    61.4";"   0.144"
"2019";"Robert Scottbuurt Oost";"BU03633803";"    1000";"    19.8";"    24.2";"    56.0";"  -0.045"
"2019";"De Kolenkit";"WK036339  ";"    4900";"    28.1";"    30.9";"    41.1";"  -0.386"
"2019";"Robert Scottbuurt West";"BU03633900";"    1400";"    21.6";"    31.7";"    46.7";"  -0.288"
"2019";"Laan van Spartaan";"BU03633901";"    1100";"    18.3";"    33.3";"    48.4";"  -0.297"
"2019";"Kolenkitbuurt Zuid";"BU03633902";"    1000";"    27.1";"    28.1";"    44.9";"  -0.222"
"2019";"Kolenkitbuurt Noord";"BU03633903";"    1500";"    41.4";"    30.3";"    28.3";"  -0.644"
"2019";"Geuzenbuurt";"WK036340  ";"    4000";"    14.1";"    23.5";"    62.4";"   0.065"
"2019";"Geuzenhofbuurt";"BU03634000";"    1100";"     9.8";"    22.7";"    67.4";"   0.244"
"2019";"Trompbuurt";"BU03634001";"    1800";"    13.5";"    22.0";"    64.6";"   0.080"
"2019";"Pieter van der Doesbuurt";"BU03634002";"    1100";"    19.6";"    26.9";"    53.5";"  -0.147"
"2019";"Van Galenbuurt";"WK036341  ";"    3400";"    23.8";"    27.9";"    48.3";"  -0.245"
"2019";"John Franklinbuurt";"BU03634100";"    1200";"    21.9";"    28.8";"    49.2";"  -0.224"
"2019";"Jan Maijenbuurt";"BU03634101";"    1300";"    25.7";"    27.1";"    47.2";"  -0.313"
"2019";"Orteliusbuurt Noord";"BU03634102";"     800";"    23.3";"    28.0";"    48.7";"  -0.168"
"2019";"Mercatorpark";"BU03634103";"       0";"       .";"       .";"       .";"       ."
"2019";"Hoofdweg e.o.";"WK036342  ";"    6000";"    22.5";"    26.8";"    50.7";"  -0.149"
"2019";"Balboaplein e.o.";"BU03634200";"    1800";"    23.1";"    26.8";"    50.1";"  -0.199"
"2019";"Columbusplein e.o.";"BU03634201";"    2000";"    25.2";"    29.1";"    45.7";"  -0.251"
"2019";"Orteliusbuurt Midden";"BU03634202";"    1100";"    20.6";"    23.5";"    55.9";"  -0.007"
"2019";"Orteliusbuurt Zuid";"BU03634203";"    1100";"    18.7";"    25.9";"    55.4";"  -0.033"
"2019";"Westindische Buurt";"WK036343  ";"    3900";"    14.0";"    24.0";"    61.9";"   0.088"
"2019";"Paramariboplein e.o.";"BU03634300";"    2200";"    13.2";"    22.8";"    64.0";"   0.104"
"2019";"Postjeskade e.o.";"BU03634301";"    1700";"    15.0";"    25.7";"    59.3";"   0.068"
"2019";"Hoofddorppleinbuurt";"WK036344  ";"    6900";"    12.1";"    23.9";"    64.0";"   0.185"
"2019";"Surinamepleinbuurt";"BU03634400";"     900";"    10.7";"    23.1";"    66.2";"   0.188"
"2019";"Westlandgrachtbuurt";"BU03634401";"    2100";"    13.1";"    24.7";"    62.2";"   0.169"
"2019";"Aalsmeerwegbuurt West";"BU03634402";"    1500";"    11.3";"    21.9";"    66.8";"   0.237"
"2019";"Aalsmeerwegbuurt Oost";"BU03634403";"    1300";"    12.8";"    24.1";"    63.1";"   0.167"
"2019";"Legmeerpleinbuurt";"BU03634404";"    1000";"    11.7";"    24.4";"    63.9";"   0.198"
"2019";"Bedrijventerrein Schinkel";"BU03634405";"     100";"    13.6";"    35.9";"    50.5";"  -0.162"
"2019";"Schinkelbuurt";"WK036345  ";"    2500";"    15.7";"    26.6";"    57.7";"   0.039"
"2019";"Schinkelbuurt Noord";"BU03634500";"    1500";"    12.2";"    26.0";"    61.8";"   0.159"
"2019";"Schinkelbuurt Zuid";"BU03634501";"    1000";"    21.2";"    27.5";"    51.3";"  -0.148"
"2019";"Willemspark";"WK036346  ";"    2600";"     8.5";"    20.6";"    70.9";"   0.401"
"2019";"Valeriusbuurt Oost";"BU03634600";"     600";"     6.8";"    19.2";"    74.0";"   0.539"
"2019";"Valeriusbuurt West";"BU03634601";"    1200";"     9.9";"    21.1";"    69.0";"   0.356"
"2019";"Willemsparkbuurt Noord";"BU03634602";"     800";"     7.6";"    20.9";"    71.5";"   0.367"
"2019";"Vondelpark West";"BU03634603";"       0";"       .";"       .";"       .";"       ."
"2019";"Museumkwartier";"WK036347  ";"    6700";"     8.9";"    21.8";"    69.3";"   0.336"
"2019";"Johannnes Vermeerbuurt";"BU03634700";"     800";"     8.1";"    20.4";"    71.5";"   0.405"
"2019";"P.C. Hooftbuurt";"BU03634701";"     400";"    11.2";"    24.6";"    64.1";"   0.302"
"2019";"Concertgebouwbuurt";"BU03634702";"     900";"     6.3";"    20.0";"    73.7";"   0.391"
"2019";"Cornelis Schuytbuurt";"BU03634703";"    1400";"     6.8";"    20.2";"    73.0";"   0.406"
"2019";"Banpleinbuurt";"BU03634704";"     300";"     7.0";"    19.2";"    73.8";"   0.490"
"2019";"Hondecoeterbuurt";"BU03634705";"    1100";"    10.0";"    20.9";"    69.1";"   0.305"
"2019";"Harmoniehofbuurt";"BU03634706";"     900";"    14.0";"    26.0";"    60.0";"   0.171"
"2019";"Museumplein";"BU03634707";"       0";"       .";"       .";"       .";"       ."
"2019";"Vondelpark Oost";"BU03634708";"       0";"       .";"       .";"       .";"       ."
"2019";"Duivelseiland";"BU03634709";"     900";"     8.6";"    24.3";"    67.1";"   0.259"
"2019";"Stadionbuurt";"WK036348  ";"    6800";"    19.2";"    27.4";"    53.4";"  -0.041"
"2019";"Bertelmanpleinbuurt";"BU03634800";"     600";"    25.7";"    30.2";"    44.0";"  -0.300"
"2019";"Marathonbuurt Oost";"BU03634801";"     900";"    21.2";"    31.5";"    47.3";"  -0.170"
"2019";"Marathonbuurt West";"BU03634802";"    1500";"    28.0";"    31.8";"    40.2";"  -0.381"
"2019";"Olympisch Stadion e.o.";"BU03634803";"    1100";"    16.0";"    23.8";"    60.2";"   0.202"
"2019";"IJsbaanpad e.o.";"BU03634804";"     200";"     6.5";"    18.8";"    74.7";"   0.532"
"2019";"Van Tuyllbuurt";"BU03634805";"    2400";"    13.3";"    24.7";"    62.0";"   0.140"
"2019";"Apollobuurt";"WK036349  ";"    4000";"     7.8";"    20.7";"    71.5";"   0.427"
"2019";"Diepenbrockbuurt";"BU03634900";"     300";"     4.9";"    15.5";"    79.6";"   0.573"
"2019";"Beethovenbuurt";"BU03634901";"     600";"    12.3";"    21.6";"    66.1";"   0.363"
"2019";"Hiltonbuurt";"BU03634902";"       0";"       .";"       .";"       .";"       ."
"2019";"Minervabuurt Noord";"BU03634903";"     600";"     7.6";"    19.9";"    72.5";"   0.461"
"2019";"Minervabuurt Midden";"BU03634904";"    1100";"     6.5";"    22.2";"    71.3";"   0.407"
"2019";"Minervabuurt Zuid";"BU03634905";"    1300";"     7.8";"    20.7";"    71.5";"   0.419"
"2019";"IJburg Oost";"WK036350  ";"       0";"       .";"       .";"       .";"       ."
"2019";"Strandeiland";"BU03635000";"       0";"       .";"       .";"       .";"       ."
"2019";"Middeneiland Zuidoost";"BU03635001";"       0";"       .";"       .";"       .";"       ."
"2019";"Middeneiland Zuidwest";"BU03635003";"       0";"       .";"       .";"       .";"       ."
"2019";"Buiteneiland";"BU03635005";"       0";"       .";"       .";"       .";"       ."
"2019";"Centrumeiland";"BU03635006";"       0";"       .";"       .";"       .";"       ."
"2019";"IJburg Zuid";"WK036351  ";"    3100";"    15.6";"    26.7";"    57.8";"   0.174"
"2019";"Rieteiland Oost";"BU03635100";"     100";"       .";"       .";"       .";"       ."
"2019";"Haveneiland Oost";"BU03635101";"    2200";"    13.7";"    25.2";"    61.1";"   0.232"
"2019";"Haveneiland Noord";"BU03635102";"     800";"    21.9";"    32.7";"    45.4";"  -0.049"
"2019";"Scheldebuurt";"WK036352  ";"    8300";"    12.6";"    22.1";"    65.3";"   0.178"
"2019";"Wielingenbuurt";"BU03635200";"    1600";"    10.2";"    20.6";"    69.3";"   0.297"
"2019";"Scheldebuurt West";"BU03635201";"    2400";"    13.9";"    23.9";"    62.2";"   0.132"
"2019";"Scheldebuurt Midden";"BU03635202";"    1700";"    11.1";"    20.8";"    68.1";"   0.205"
"2019";"Scheldebuurt Oost";"BU03635203";"    1400";"    10.7";"    21.4";"    68.0";"   0.184"
"2019";"Veluwebuurt";"BU03635206";"     900";"    22.7";"    26.8";"    50.4";"  -0.138"
"2019";"Kop Zuidas";"BU03635207";"     300";"     4.6";"    12.6";"    82.8";"   0.616"
"2019";"IJselbuurt";"WK036353  ";"    3300";"    16.7";"    27.6";"    55.7";"  -0.085"
"2019";"IJselbuurt West";"BU03635300";"    1500";"    18.5";"    28.3";"    53.3";"  -0.121"
"2019";"IJselbuurt Oost";"BU03635301";"    1800";"    15.2";"    26.9";"    57.9";"  -0.053"
"2019";"Rijnbuurt";"WK036354  ";"    5600";"    17.8";"    26.9";"    55.4";"  -0.082"
"2019";"Kromme Mijdrechtbuurt";"BU03635400";"    1600";"    17.8";"    26.6";"    55.5";"  -0.123"
"2019";"Rijnbuurt Oost";"BU03635401";"    1700";"    13.0";"    25.4";"    61.5";"   0.094"
"2019";"Rijnbuurt Midden";"BU03635402";"    1300";"    13.0";"    25.3";"    61.7";"   0.063"
"2019";"Rijnbuurt West";"BU03635403";"    1100";"    30.8";"    31.1";"    38.1";"  -0.474"
"2019";"Zorgvlied";"BU03635404";"       0";"       .";"       .";"       .";"       ."
