"Perioden";"Wijken en buurten";"Regiocode (gemeente, wijk, buurt) (code)";"Particuliere huishoudens (Aantal)";"Opleidingsniveau/Laag/Waarde (%)";"Opleidingsniveau/Middelbaar/Waarde (%)";"Opleidingsniveau/Hoog/Waarde (%)";"SES-WOA/Totaalscore/Gemiddelde score (Getal)";"Spreiding/Spreiding totaal/Waarde (Getal)"
"2019";"Amsterdam";"GM0363    ";"  457400";"    20.8";"    29.8";"    49.5";"  -0.100";"   1.010"
"2019";"Burgwallen-Oude Zijde";"WK036300  ";"    2900";"    12.9";"    28.9";"    58.2";"  -0.022";"   0.892"
"2019";"Kop Zeedijk";"BU03630000";"     700";"    12.4";"    27.0";"    60.6";"   0.045";"   0.856"
"2019";"Oude Kerk e.o.";"BU03630001";"     500";"    14.8";"    30.7";"    54.5";"  -0.110";"   0.916"
"2019";"Burgwallen Oost";"BU03630002";"    1100";"    15.3";"    30.7";"    54.0";"  -0.082";"   0.916"
"2019";"Nes e.o.";"BU03630003";"     200";"     5.2";"    27.8";"    67.1";"   0.192";"   0.785"
"2019";"BG-terrein e.o.";"BU03630004";"     400";"     9.9";"    26.2";"    63.8";"   0.002";"   0.875"
"2019";"Burgwallen-Nieuwe Zijde";"WK036301  ";"    2800";"    10.7";"    28.9";"    60.4";"   0.042";"   0.842"
"2019";"Stationsplein e.o.";"BU03630100";"       0";"       .";"       .";"       .";"       .";"       ."
"2019";"Hemelrijk";"BU03630101";"     400";"    11.7";"    29.2";"    59.1";"   0.056";"   0.838"
"2019";"Nieuwendijk Noord";"BU03630102";"     300";"     9.9";"    33.9";"    56.3";"  -0.066";"   0.880"
"2019";"Spuistraat Noord";"BU03630103";"     500";"     9.6";"    27.9";"    62.5";"   0.075";"   0.811"
"2019";"Nieuwe Kerk e.o.";"BU03630104";"     500";"    11.3";"    28.3";"    60.5";"   0.088";"   0.855"
"2019";"Spuistraat Zuid";"BU03630105";"     500";"    10.7";"    27.3";"    62.0";"   0.015";"   0.855"
"2019";"Begijnhofbuurt";"BU03630106";"     300";"    13.7";"    27.2";"    59.1";"   0.004";"   0.792"
"2019";"Kalverdriehoek";"BU03630107";"     200";"     6.6";"    32.1";"    61.2";"   0.108";"   0.828"
"2019";"Grachtengordel-West";"WK036302  ";"    3800";"     7.7";"    22.4";"    69.9";"   0.283";"   0.764"
"2019";"Langestraat e.o.";"BU03630200";"    1100";"     8.2";"    22.0";"    69.8";"   0.312";"   0.741"
"2019";"Leliegracht e.o.";"BU03630201";"    1000";"     7.4";"    22.4";"    70.2";"   0.273";"   0.783"
"2019";"Felix Meritisbuurt";"BU03630202";"    1300";"     8.1";"    22.6";"    69.3";"   0.274";"   0.770"
"2019";"Leidsegracht Noord";"BU03630203";"     400";"     6.0";"    22.4";"    71.6";"   0.254";"   0.755"
"2019";"Grachtengordel-Zuid";"WK036303  ";"    3300";"     8.5";"    24.9";"    66.7";"   0.234";"   0.798"
